City,CityCode,Province,Region,RegionalCode
Kota Adm. Jakarta Pusat,TNA,DKI Jakarta,Jabodetabek,04
Kota Adm. Jakarta Selatan,KYB,DKI Jakarta,Jabodetabek,04
Kota Adm. Jakarta Timur,CKG,DKI Jakarta,Jabodetabek,04
Kota Adm. Jakarta Utara,TJP,DKI Jakarta,Jabodetabek,04
Kota Ambon,AMB,Provinsi Maluku,Puma,11
Kota Balikpapan,BPP,Provinsi Kalimantan Timur,Kalimantan,09
Kota Banda Aceh,BNA,Provinsi Aceh,Sumbagut,01
Kota Bandar Lampung,BDL,Provinsi Lampung,Sumbagsel,03
Kota Bandung,BDG,Provinsi Jawa Barat,Jawa Barat,05
Kota Banjar,BJR,Provinsi Jawa Barat,Jawa Barat,05
Kota Banjarbaru,BJB,Provinsi Kalimantan Selatan,Kalimantan,09
Kota Banjarmasin,BJM,Provinsi Kalimantan Selatan,Kalimantan,09
Kota Batam,BTM,Provinsi Kepulauan Riau,Sumbagteng,02
Kota Batu,BTU,Provinsi Jawa Timur,Jawa Timur,07
Kota Bau Bau,BAU,Provinsi Sulawesi Tenggara,Sulawesi,10
Kota Bekasi,BKS,Provinsi Jawa Barat,Jabodetabek,04
Kota Bengkulu,BGL,Provinsi Bengkulu,Sumbagsel,03
Kota Bima,BIM,Provinsi Nusa Tenggara Barat,Balinusra,08
Kota Binjai,BNJ,Provinsi Sumatera Utara,Sumbagut,01
Kota Bitung,BIT,Provinsi Sulawesi Utara,Sulawesi,10
Kota Blitar,BLT,Provinsi Jawa Timur,Jawa Timur,07
Kota Bogor,BGR,Provinsi Jawa Barat,Jabodetabek,04
Kota Bontang,BON,Provinsi Kalimantan Timur,Kalimantan,09
Kota Bukittinggi,BKT,Provinsi Sumatera Barat,Sumbagteng,02
Kota Cilegon,CLG,Provinsi Banten,Jabodetabek,04
Kota Cimahi,CMH,Provinsi Jawa Barat,Jawa Barat,05
Kota Cirebon,CBN,Provinsi Jawa Barat,Jawa Barat,05
Kota Denpasar,DPR,Provinsi Bali,Balinusra,08
Kota Depok,DPK,Provinsi Jawa Barat,Jabodetabek,04
Kota Dumai,DUM,Provinsi Riau,Sumbagteng,02
Kota Gorontalo,GTO,Provinsi Gorontalo,Sulawesi,10
Kota Gunungsitoli,GST,Provinsi Sumatera Utara,Sumbagut,01
Kota Jambi,JMB,Provinsi Jambi,Sumbagsel,03
Kota Jayapura,JAP,Provinsi Papua,Puma,11
Kota Kediri,KDR,Provinsi Jawa Timur,Jawa Timur,07
Kota Kendari,KDI,Provinsi Sulawesi Tenggara,Sulawesi,10
Kota Kotamobagu,KTG,Provinsi Sulawesi Utara,Sulawesi,10
Kota Kupang,KPG,Provinsi Nusa Tenggara Timur,Balinusra,08
Kota Langsa,LGS,Provinsi Aceh,Sumbagut,01
Kota Lhokseumawe,LSM,Provinsi Aceh,Sumbagut,01
Kota Lubuk Linggau,LLG,Provinsi Sumatera Selatan,Sumbagsel,03
Kota Madiun,MAD,Provinsi Jawa Timur,Jawa Timur,07
Kota Magelang,MGG,Provinsi Jawa Tengah,Jawa Tengah,06
Kota Makassar,MKS,Provinsi Sulawesi Selatan,Sulawesi,10
Kota Malang,MLG,Provinsi Jawa Timur,Jawa Timur,07
Kota Manado,MND,Provinsi Sulawesi Utara,Sulawesi,10
Kota Mataram,MTR,Provinsi Nusa Tenggara Barat,Balinusra,08
Kota Medan,MDN,Provinsi Sumatera Utara,Sumbagut,01
Kota Metro,MET,Provinsi Lampung,Sumbagsel,03
Kota Mojokerto,MJK,Provinsi Jawa Timur,Jawa Timur,07
Kota Padang,PAD,Provinsi Sumatera Barat,Sumbagteng,02
Kota Padang Panjang,PDP,Provinsi Sumatera Barat,Sumbagteng,02
Kota Padang Sidempuan,PSP,Provinsi Sumatera Utara,Sumbagut,01
Kota Pagar Alam,PGA,Provinsi Sumatera Selatan,Sumbagsel,03
Kota Palangkaraya,PLK,Provinsi Kalimantan Tengah,Kalimantan,09
Kota Palembang,PLG,Provinsi Sumatera Selatan,Sumbagsel,03
Kota Palopo,PLP,Provinsi Sulawesi Selatan,Sulawesi,10
Kota Palu,PAL,Provinsi Sulawesi Tengah,Sulawesi,10
Kota Pangkal Pinang,PGP,Provinsi Kepulauan Bangka Belitung,Sumbagsel,03
Kota Pare Pare,PRE,Provinsi Sulawesi Selatan,Sulawesi,10
Kota Pariaman,PMN,Provinsi Sumatera Barat,Sumbagteng,02
Kota Pasuruan,PSN,Provinsi Jawa Timur,Jawa Timur,07
Kota Payakumbuh,PYH,Provinsi Sumatera Barat,Sumbagteng,02
Kota Pekalongan,PKL,Provinsi Jawa Tengah,Jawa Tengah,06
Kota Pekanbaru,PBR,Provinsi Riau,Sumbagteng,02
Kota Pematangsiantar,PMS,Provinsi Sumatera Utara,Sumbagut,01
Kota Pontianak,PTK,Provinsi Kalimantan Barat,Kalimantan,09
Kota Prabumulih,PBM,Provinsi Sumatera Selatan,Sumbagsel,03
Kota Probolinggo,PBL,Provinsi Jawa Timur,Jawa Timur,07
Kota Sabang,SAB,Provinsi Aceh,Sumbagut,01
Kota Salatiga,SLT,Provinsi Jawa Tengah,Jawa Tengah,06
Kota Samarinda,SMR,Provinsi Kalimantan Timur,Kalimantan,09
Kota Sawahlunto,SWL,Provinsi Sumatera Barat,Sumbagteng,02
Kota Semarang,SMG,Provinsi Jawa Tengah,Jawa Tengah,06
Kota Serang,SRG,Provinsi Banten,Jabodetabek,04
Kota Sibolga,SBG,Provinsi Sumatera Utara,Sumbagut,01
Kota Singkawang,SKW,Provinsi Kalimantan Barat,Kalimantan,09
Kota Solok,SLK,Provinsi Sumatera Barat,Sumbagteng,02
Kota Sorong,SON,Provinsi Papua Barat,Puma,11
Kota Subulussalam,SUS,Provinsi Aceh,Sumbagut,01
Kota Sukabumi,SKB,Provinsi Jawa Barat,Jabodetabek,04
Kota Sungai Penuh,SPN,Provinsi Jambi,Sumbagsel,03
Kota Surabaya,SBY,Provinsi Jawa Timur,Jawa Timur,07
Kota Surakarta (Solo),SKT,Provinsi Jawa Tengah,Jawa Tengah,06
Kota Tangerang,TNG,Provinsi Banten,Jabodetabek,04
Kota Tangerang Selatan,CPT,Provinsi Banten,Jabodetabek,04
Kota Tanjung Balai,TJB,Provinsi Sumatera Utara,Sumbagut,01
Kota Tanjung Pinang,TPG,Provinsi Kepulauan Riau,Sumbagteng,02
Kota Tarakan,TAR,Provinsi Kalimantan Utara,Kalimantan,09
Kota Tasikmalaya,TSM,Provinsi Jawa Barat,Jawa Barat,05
Kota Tebing Tinggi,TBT,Provinsi Sumatera Utara,Sumbagut,01
Kota Tegal,TGL,Provinsi Jawa Tengah,Jawa Tengah,06
Kota Ternate,TTE,Provinsi Maluku Utara,Sulawesi,10
Kota Tidore Kepulauan,TDR,Provinsi Maluku Utara,Sulawesi,10
Kota Tomohon,TMH,Provinsi Sulawesi Utara,Sulawesi,10
Kota Tual,TUL,Provinsi Maluku,Puma,11
Kota Yogyakarta,YYK,DI Yogyakarta,Jawa Tengah,06
